dt|_ent|_snd|_os|_all
2018-10-02|2019-04-08 20:00:10|2019-04-08 20:13:13|2019-04-08 20:05:43|NULL
2018-10-03|2019-04-08 20:00:08|2019-04-08 20:13:10|2019-04-08 20:05:40|NULL
2018-10-04|2019-04-08 20:00:06|2019-04-08 20:13:07|2019-04-08 20:05:37|NULL
2018-10-05|2019-04-08 20:00:03|2019-04-08 20:13:05|2019-04-08 20:05:33|NULL
2018-10-06|2019-04-08 20:00:01|2019-04-08 20:13:03|2019-04-08 20:05:30|NULL
2018-10-07|2019-04-08 19:59:58|2019-04-08 20:13:02|2019-04-08 20:05:27|NULL
2018-10-08|2019-04-08 19:59:56|2019-04-08 20:13:01|2019-04-08 20:05:24|NULL
2018-10-09|2019-04-08 19:59:55|2019-04-08 20:12:58|2019-04-08 20:05:20|NULL
2018-10-10|2019-04-08 19:59:54|2019-04-08 20:12:56|2019-04-08 20:05:15|NULL
2018-10-11|2019-04-08 19:59:53|2019-04-08 20:12:54|2019-04-08 20:05:12|NULL
2018-10-12|2019-04-08 19:59:52|2019-04-08 20:12:51|2019-04-08 20:05:10|NULL
2018-10-13|2019-04-08 19:59:51|2019-04-08 20:12:49|2019-04-08 20:05:07|NULL
2018-10-14|2019-04-08 19:59:51|2019-04-08 20:12:49|2019-04-08 20:05:05|NULL
2018-10-15|2019-04-08 19:59:50|2019-04-08 20:12:48|2019-04-08 20:05:04|NULL
2018-10-16|2019-04-08 19:59:49|2019-04-08 20:12:45|2019-04-08 20:05:02|NULL
2018-10-17|2019-04-08 19:59:48|2019-04-08 20:12:43|2019-04-08 20:04:59|NULL
2018-10-18|2019-04-08 19:59:46|2019-04-08 20:12:40|2019-04-08 20:04:58|NULL
2018-10-19|2019-04-08 19:59:45|2019-04-08 20:12:37|2019-04-08 20:04:56|NULL
2018-10-20|2019-04-08 19:59:44|2019-04-08 20:12:35|2019-04-08 20:04:52|NULL
2018-10-21|2019-04-08 19:59:43|2019-04-08 20:12:34|2019-04-08 20:04:51|NULL
2018-10-22|2019-04-08 19:59:42|2019-04-08 20:12:33|2019-04-08 20:04:50|NULL
2018-10-23|2019-04-08 19:59:41|2019-04-08 20:12:31|2019-04-08 20:04:48|NULL
2018-10-24|2019-04-08 19:59:39|2019-04-08 20:12:28|2019-04-08 20:04:45|NULL
2018-10-25|2019-04-08 19:59:39|2019-04-08 20:12:25|2019-04-08 20:04:44|NULL
2018-10-26|2019-04-08 19:59:38|2019-04-08 20:12:22|2019-04-08 20:04:42|NULL
2018-10-27|2019-04-08 19:59:37|2019-04-08 20:12:19|2019-04-08 20:04:41|NULL
2018-10-28|2019-04-08 19:59:37|2019-04-08 20:12:19|2019-04-08 20:04:40|NULL
2018-10-29|2019-04-08 19:59:36|2019-04-08 20:12:18|2019-04-08 20:04:40|NULL
2018-10-30|2019-04-08 19:59:35|2019-04-08 20:12:14|2019-04-08 20:04:38|NULL
2018-10-31|2019-04-08 19:59:35|2019-04-08 20:12:12|2019-04-08 20:04:36|NULL
2018-11-01|2019-04-08 19:59:34|2019-04-08 20:12:09|2019-04-08 20:04:35|NULL
2018-11-02|2019-04-08 19:59:33|2019-04-08 20:12:06|2019-04-08 20:04:33|NULL
2018-11-03|2019-04-08 19:59:32|2019-04-08 20:12:03|2019-04-08 20:04:31|NULL
2018-11-04|2019-04-08 19:59:31|2019-04-08 20:12:02|2019-04-08 20:04:30|NULL
2018-11-05|2019-04-08 19:59:30|2019-04-08 20:12:02|2019-04-08 20:04:28|NULL
2018-11-06|2019-04-08 19:59:29|2019-04-08 20:11:58|2019-04-08 20:04:26|NULL
2018-11-07|2019-04-08 19:59:28|2019-04-08 20:11:55|2019-04-08 20:04:24|NULL
2018-11-08|2019-04-08 19:59:27|2019-04-08 20:11:52|2019-04-08 20:04:22|NULL
2018-11-09|2019-04-08 19:59:27|2019-04-08 20:11:49|2019-04-08 20:04:20|NULL
2018-11-10|2019-04-08 19:59:26|2019-04-08 20:11:46|2019-04-08 20:04:18|NULL
2018-11-11|2019-04-08 19:59:26|2019-04-08 20:11:46|2019-04-08 20:04:17|NULL
2018-11-12|2019-04-08 19:59:25|2019-04-08 20:11:45|2019-04-08 20:04:17|NULL
2018-11-13|2019-04-08 19:59:24|2019-04-08 20:11:42|2019-04-08 20:04:15|NULL
2018-11-14|2019-04-08 19:59:23|2019-04-08 20:11:37|2019-04-08 20:04:13|NULL
