id|name|action|orgId|userId|roleId|entityId|created_at|updated_at|createdAt|updatedAt
707|REPORTS_OVERALL_VS_PRODUCTIVE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
708|REPORTS_OVERALL_VS_PRODUCTIVE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
709|REPORTS_OVERALL_VS_PRODUCTIVE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
710|REPORTS_OVERALL_VS_PRODUCTIVE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
711|REPORTS_FAVORITES_USAGE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
712|REPORTS_FAVORITES_USAGE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
713|REPORTS_FAVORITES_USAGE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
714|REPORTS_FAVORITES_USAGE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
715|REPORTS_ADOPTION_RATE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
716|REPORTS_ADOPTION_RATE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
717|REPORTS_ADOPTION_RATE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
718|REPORTS_ADOPTION_RATE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
719|REPORTS_USAGE_COMPARE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
720|REPORTS_USAGE_COMPARE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
721|REPORTS_USAGE_COMPARE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
722|REPORTS_USAGE_COMPARE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
723|REPORTS_OS_USAGE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
724|REPORTS_OS_USAGE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
725|REPORTS_OS_USAGE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
726|REPORTS_OS_USAGE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
727|REPORTS_OS_PRODUCTIVITY_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
728|REPORTS_OS_PRODUCTIVITY_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
729|REPORTS_OS_PRODUCTIVITY_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
730|REPORTS_OS_PRODUCTIVITY_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
731|REPORTS_ADOPTION_RATE_EVAL_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
732|REPORTS_ADOPTION_RATE_EVAL_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
733|REPORTS_ADOPTION_RATE_EVAL_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
734|REPORTS_ADOPTION_RATE_EVAL_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
735|REPORTS_ADOPTION_RATE_RANKING_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
736|REPORTS_ADOPTION_RATE_RANKING_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
737|REPORTS_ADOPTION_RATE_RANKING_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
738|REPORTS_ADOPTION_RATE_RANKING_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
739|REPORTS_PAYBACK_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
740|REPORTS_PAYBACK_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
741|REPORTS_PAYBACK_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
742|REPORTS_PAYBACK_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
743|REPORTS_PRODUCTIVITY_CATEGORIES_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
744|REPORTS_PRODUCTIVITY_CATEGORIES_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
745|REPORTS_PRODUCTIVITY_CATEGORIES_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
746|REPORTS_PRODUCTIVITY_CATEGORIES_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
747|USERS_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
748|USERS_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
749|USERS_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
750|USERS_DELETE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
751|USERS_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
752|ROLES_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
753|ROLES_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
754|ROLES_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
755|ROLES_DELETE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
756|ROLES_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
757|ENTITIES_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
758|ENTITIES_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
759|ENTITIES_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
760|ENTITIES_DELETE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
761|ENTITIES_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
762|ROI_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
763|ROI_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
764|ROI_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
765|FAVORITES_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
766|FAVORITES_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
767|FAVORITES_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
768|FAVORITES_DELETE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
769|FAVORITES_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
770|API_READ|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
771|API_UPDATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
772|API_NOTIFY|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
773|SETTINGS_READ|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
774|SETTINGS_UPDATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
775|SETTINGS_NOTIFY|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
776|RESOURCES_READ|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
777|RESOURCES_UPDATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
778|RESOURCES_NOTIFY|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
779|REPORTS_CREATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
780|REPORTS_READ|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
781|REPORTS_NOTIFY|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
782|ROI_NOTIFY|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
783|USERS_CREATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
784|USERS_READ|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
785|USERS_UPDATE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
786|USERS_DELETE|ADD|34|NULL|136|NULL|2017-10-25 17:46:32|2017-10-25 17:46:32|NULL|NULL
